产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
调味品-->复合调味品,红99浓缩底料,滨州高新技术产业开发区真诚超市,山东市场监管局,合格,2015-02-05,,400g/袋,红99,重庆红九九食品有限公司,重庆市大渡口区建胜镇建路村钓鱼嘴,滨州高新技术产业开发区真诚超市,滨州市高新区青田办事处,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477763
调味品-->复合调味品,火锅蘸料,山东明大实业集团有限公司,山东市场监管局,合格,2015-02-05,,120g/袋,旺顺,内蒙古旺顺食品有限公司,呼和浩特市回民鄂尔多斯西街,山东明大实业集团有限公司,山东省东明县五四路中段49号,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477764
调味品-->复合调味品,重庆火锅浓缩底料,广饶县国色天香豆捞食府,山东市场监管局,合格,2015-02-05,,400g/袋,红99,重庆红九九食品有限公司,重庆市大渡口区建胜镇建路村钓鱼嘴,广饶县国色天香豆捞食府,东营市广饶县广饶亿丰国际时代广场B区11,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477765
调味品-->复合调味品,火锅底料（混合态清汤）,泰安益华商业有限公司,山东市场监管局,合格,2015-02-05,,160g/袋,小肥羊,内蒙古小肥羊调味食品有限公司,包头稀土高新区秋实路1号,泰安益华商业有限公司,泰安市泰山区徐家楼办事处徐家楼社区龙潭路211-88号,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477745
调味品-->复合调味品,康熙草原火锅蘸料（香辣味）,泰安益华商业有限公司,山东市场监管局,合格,2015-02-05,,180g/袋,老才臣,北京市老才臣食品有限公司,北京市平谷区兴谷经济开发区5号区,泰安益华商业有限公司,泰安市泰山区徐家楼办事处徐家楼社区龙潭路211-88号,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477746
调味品-->复合调味品,香辣蘸料,济南十八家家悦超市有限公司美莲广场店,山东市场监管局,合格,2015-02-05,,160g/袋,草原阿妈,宁夏草原阿妈食品有限公司,宁夏银川市西夏区经天东路40号,济南十八家家悦超市有限公司美莲广场店,济南市高新区新泺大街1116号美莲广场107号,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477732
调味品-->复合调味品,清油火锅底料,利津县益生园火锅食府,山东市场监管局,合格,2015-02-05,,260g/袋,,重庆小天鹅百福食品有限公司,重庆石柱县龙沙镇石岭村,利津县益生园火锅食府,东营市利津县利二路328号,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477733
调味品-->复合调味品,红汤火锅底料,阳信县阳信镇八毛干货香料批发部,山东市场监管局,合格,2015-02-05,,220g/袋,红尊红,云南卓一食品有限公司,云南省江川县前卫镇北前路,阳信县阳信镇八毛干货香料批发部,滨州市阳信县园亭商场,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477734
调味品-->复合调味品,美味蘸料,烟台市家家悦超市有限公司栖霞四店,山东市场监管局,合格,2015-02-05,,160g/包,草原阿妈,宁夏草原阿妈食品有限公司,宁夏银川市西夏区经天东路40号,烟台市家家悦超市有限公司栖霞四店,栖霞市金岭商贸城,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477735
调味品-->复合调味品,火锅清汤骨汤袋鲜,日照市新世纪商厦有限公司人民商场店,山东市场监管局,合格,2015-02-05,,220g/袋,草原红太阳,内蒙古红太阳食品有限公司,呼和浩特裕隆工业园C区15号,日照市新世纪商厦有限公司人民商场店,莒县城区青年中路东侧,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477736
调味品-->复合调味品,清汤料,枣庄市市中区润泽百货超市,山东市场监管局,合格,2015-02-05,,150g/袋,云亭,山东云亭食品有限公司,济南市历城区柳埠镇摩天岭凤凰工业园柳埠三区300号,枣庄市市中区润泽百货超市,枣庄市市中区西王庄乡驻地,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477737
调味品-->复合调味品,火锅底料,泰安市泰山区牵源酒店,山东市场监管局,合格,2015-02-05,,150g/袋,,泰安市泰山区牵源酒店,泰安市泰山区康复路,泰安市泰山区牵源酒店,泰安市泰山区康复路,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477738
调味品-->复合调味品,火锅蘸料,银座集团股份有限公司莱芜银座钢城店,山东市场监管局,合格,2015-02-05,,100g/袋,海鲜,龙口市天天买卖食品有限公司,山东烟台龙口经济开发区工业园,银座集团股份有限公司莱芜银座钢城店,山东省莱芜市钢城区钢都大街南侧昌盛路西侧,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477739
调味品-->复合调味品,火锅红汤底料,莱芜大润发商业有限公司,山东市场监管局,合格,2015-02-05,,150g/袋,红灯笼,四川省成都红灯笼食品有限公司,郫县安靖镇高桥村,莱芜大润发商业有限公司,山东省莱芜市文源东大街以北花园北路以西,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477740
调味品-->复合调味品,火锅蘸料,泰安市泰山区亿客兴隆百货超市,山东市场监管局,合格,2015-02-05,,120g/包,伊顺,呼和浩特市伊顺清真食品有限公司,内蒙古呼和浩特市玉泉鄂尔多斯西街,泰安市泰山区亿客兴隆百货超市,泰山区邱家店镇站西邻,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477741
调味品-->复合调味品,红汤火锅底料,泰安市泰山区汇万佳超市,山东市场监管局,合格,2015-02-05,,150g/包,大红袍,四川天味食品集团股份有限公司（A）,四川天味食品集团股份有限公司（A）,泰安市泰山区汇万佳超市,泰安市泰山区省庄镇商贸城,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477742
调味品-->复合调味品,红汤火锅底料,泰安市泰山亿客兴隆百货超市,山东市场监管局,合格,2015-02-05,,120g/包,六六红,成都市六六红食品有限公司,成都市郫县团结镇平安村,泰安市泰山亿客兴隆百货超市,泰安市泰山区亿客兴隆,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477743
调味品-->复合调味品,麻辣烫底料,泰安益华商业有限公司,山东市场监管局,合格,2015-02-05,,150g/包,苏大姐,重庆苏大姐食品有限公司,重庆市沙坪坝区梨树湾芭蕉沟168号,泰安益华商业有限公司,泰安市泰山区徐家楼办事处徐家楼社区龙潭路211-88号,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477744
调味品-->复合调味品,火锅底料（辣汤）,山东十八乐超市有限公司莱芜钢城城子坡店,山东市场监管局,合格,2015-02-05,,200g/袋,草原阿妈,宁夏草原阿妈食品有限公司,宁夏银川西夏区经天东路40号,山东十八乐超市有限公司莱芜钢城城子坡店,山东省莱芜市钢城区钢都大街93号,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477747
调味品-->复合调味品,涮肥羊（火锅微辣）,莱芜市营昊商贸有限公司,山东市场监管局,合格,2015-02-05,,160g/袋,草原福老大,内蒙古福老大食品有限责任公司,内蒙古自治区呼和浩特市玉泉区裕隆工业园路北,莱芜市营昊商贸有限公司,山东省莱芜市高新区顺河大街程故事沿街楼,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477748
调味品-->复合调味品,麻辣烫调料,山东福恩贝尔商贸有限公司,山东市场监管局,合格,2015-02-05,,150g/袋,川南,四川省川南酿造有限公司,眉山经济开发区东区,山东福恩贝尔商贸有限公司,山东省莱芜市莱城区寨里镇寨里西村,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477749
